context,context_gene,dep_gene,pair,ky_pos,ky_evaluable
EXPR_LOW:ZNF680,ZNF680,ZNF273,ZNF273|ZNF680,8,True
EXPR_LOW:JUP,JUP,CTNNB1,CTNNB1|JUP,12,True
EXPR_LOW:CCNE2,CCNE2,CCNE1,CCNE1|CCNE2,5,True
EXPR_LOW:JUN,JUN,JUNB,JUN|JUNB,3,False
EXPR_LOW:ZNF354B,ZNF354B,ZNF492,ZNF354B|ZNF492,5,True
EXPR_LOW:GATA2,GATA2,GATA3,GATA2|GATA3,40,True
EXPR_LOW:FZD2,FZD2,FZD5,FZD2|FZD5,42,True
EXPR_LOW:H2BC4,H2BC4,H2BC11,H2BC11|H2BC4,9,True
EXPR_LOW:H2BC4,H2BC4,H2BC15,H2BC15|H2BC4,9,True
EXPR_LOW:H2BC4,H2BC4,H2BC6,H2BC4|H2BC6,9,True
EXPR_LOW:RAP2B,RAP2B,NRAS,NRAS|RAP2B,5,True
EXPR_LOW:RAP2B,RAP2B,RHEB,RAP2B|RHEB,5,True
EXPR_LOW:UBA7,UBA7,UBA1,UBA1|UBA7,53,True
EXPR_LOW:ATL3,ATL3,ATL2,ATL2|ATL3,1,False
EXPR_LOW:NRBP2,NRBP2,NRBP1,NRBP1|NRBP2,6,True
EXPR_LOW:MAPK11,MAPK11,MAPK1,MAPK1|MAPK11,32,True
EXPR_LOW:MYBL1,MYBL1,MYB,MYB|MYBL1,19,True
EXPR_LOW:MYBL1,MYBL1,MYBL2,MYBL1|MYBL2,19,True
EXPR_LOW:MAPK12,MAPK12,MAPK1,MAPK1|MAPK12,5,True
EXPR_LOW:ZNF600,ZNF600,ZNF492,ZNF492|ZNF600,22,True
EXPR_LOW:ZNF431,ZNF431,ZNF273,ZNF273|ZNF431,13,True
EXPR_LOW:ZNF585A,ZNF585A,ZNF492,ZNF492|ZNF585A,32,True
EXPR_LOW:ZNF675,ZNF675,ZNF273,ZNF273|ZNF675,30,True
EXPR_LOW:ZNF695,ZNF695,ZNF492,ZNF492|ZNF695,40,True
EXPR_LOW:H2BC12,H2BC12,H2BC11,H2BC11|H2BC12,1,False
EXPR_LOW:H2BC12,H2BC12,H2BC15,H2BC12|H2BC15,1,False
EXPR_LOW:H2BC12,H2BC12,H2BC6,H2BC12|H2BC6,1,False
EXPR_LOW:H2BC12,H2BC12,H2BC4,H2BC12|H2BC4,1,False
EXPR_LOW:TEAD4,TEAD4,TEAD1,TEAD1|TEAD4,5,True
EXPR_LOW:ZNF28,ZNF28,ZNF492,ZNF28|ZNF492,15,True
EXPR_LOW:H2AC18,H2AC18,H2AC17,H2AC17|H2AC18,2,False
EXPR_LOW:H2AC18,H2AC18,H2AC20,H2AC18|H2AC20,2,False
EXPR_LOW:ZNF880,ZNF880,ZNF492,ZNF492|ZNF880,108,True
EXPR_LOW:PSMB9,PSMB9,PSMB6,PSMB6|PSMB9,12,True
EXPR_LOW:H2AJ,H2AJ,H2AC17,H2AC17|H2AJ,28,True
EXPR_LOW:H2AJ,H2AJ,H2AC20,H2AC20|H2AJ,28,True
