set,context,dep_gene,tested,replicated,result
primary,EXPR_LOW:CYB5A,CYB5B,True,False,"{""res"": {""beta"": -0.060590753418770786, ""r"": -0.06959884390241405, ""p_two_sided"": 0.14635518112020593, ""se"": 0.04163947850556963, ""df"": 435, ""n"": 485, ""n_pos"": 18, ""n_neg"": 467, ""dep_sd"": 0.17045324681997234}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.07317759056010296, ""d_discovery_shrunken"": 1.112196514620434, ""d_holdout"": 0.35546846158210726, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:DNAJC15,DNAJC19,True,True,"{""res"": {""beta"": -0.3275167557131458, ""r"": -0.4963351438282932, ""p_two_sided"": 2.47666391547876e-32, ""se"": 0.025721892580315327, ""df"": 496, ""n"": 548, ""n_pos"": 98, ""n_neg"": 450, ""dep_sd"": 0.24809351234094862}, ""rep"": {""same_sign"": true, ""p_one_sided"": 1.23833195773938e-32, ""d_discovery_shrunken"": 1.3482278265073047, ""d_holdout"": 1.3201343018718195, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:UAP1L1,UAP1,True,False,"{""res"": {""beta"": 0.00816740426482851, ""r"": 0.007534795654138459, ""p_two_sided"": 0.8718240433191179, ""se"": 0.050593404268182325, ""df"": 459, ""n"": 509, ""n_pos"": 24, ""n_neg"": 485, ""dep_sd"": 0.23643697011733444}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.5640879783404411, ""d_discovery_shrunken"": 1.3172722820960254, ""d_holdout"": 0.034543685197688606, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:EMC10,EMC4,True,True,"{""res"": {""beta"": -0.1910274493560865, ""r"": -0.17613409077035208, ""p_two_sided"": 0.003626959790858609, ""se"": 0.06509279208537576, ""df"": 269, ""n"": 310, ""n_pos"": 9, ""n_neg"": 301, ""dep_sd"": 0.19792051717845807}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.0018134798954293045, ""d_discovery_shrunken"": 1.260266292452077, ""d_holdout"": 0.9651725454205623, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:TBL1X,TBL1XR1,True,False,"{""res"": {""beta"": -0.004683978935918676, ""r"": -0.004964160874843691, ""p_two_sided"": 0.9031777681176525, ""se"": 0.03848810235089259, ""df"": 601, ""n"": 657, ""n_pos"": 29, ""n_neg"": 628, ""dep_sd"": 0.19682888205247345}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.45158888405882625, ""d_discovery_shrunken"": 0.9539334288598311, ""d_holdout"": 0.023797213534291956, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:LDAH,HSD17B12,True,True,"{""res"": {""beta"": -0.09722775739453833, ""r"": -0.13329340285139774, ""p_two_sided"": 0.0010545553636612155, ""se"": 0.02953761555929961, ""df"": 599, ""n"": 655, ""n_pos"": 39, ""n_neg"": 616, ""dep_sd"": 0.15497806267968622}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.0005272776818306077, ""d_discovery_shrunken"": 0.9262099808128493, ""d_holdout"": 0.6273646457659744, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:CDK6,CDK4,True,True,"{""res"": {""beta"": -0.3993252688961108, ""r"": -0.27419126322511367, ""p_two_sided"": 6.7803944705776724e-12, ""se"": 0.05703519511345166, ""df"": 603, ""n"": 659, ""n_pos"": 47, ""n_neg"": 612, ""dep_sd"": 0.35014191176648657}, ""rep"": {""same_sign"": true, ""p_one_sided"": 3.3901972352888362e-12, ""d_discovery_shrunken"": 0.6356038291449705, ""d_holdout"": 1.140466923486798, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:FNBP1,RAB10,True,True,"{""res"": {""beta"": -0.06313257242427335, ""r"": -0.07128232707410505, ""p_two_sided"": 0.07978816986398926, ""se"": 0.035975495604816464, ""df"": 603, ""n"": 659, ""n_pos"": 27, ""n_neg"": 632, ""dep_sd"": 0.16553100549762198}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.03989408493199463, ""d_discovery_shrunken"": 0.7408070502148905, ""d_holdout"": 0.38139424233232433, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:KLHL5,IRS2,True,True,"{""res"": {""beta"": -0.07902414594151244, ""r"": -0.09921783506311893, ""p_two_sided"": 0.014961986284241165, ""se"": 0.03238235471572709, ""df"": 599, ""n"": 655, ""n_pos"": 22, ""n_neg"": 633, ""dep_sd"": 0.149781379853179}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.007480993142120583, ""d_discovery_shrunken"": 0.7300570622967261, ""d_holdout"": 0.5275965945765402, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:LIX1L,STX4,True,False,"{""res"": {""beta"": -0.031070539882376902, ""r"": -0.06120242303065009, ""p_two_sided"": 0.1896098615552602, ""se"": 0.023651513486213357, ""df"": 459, ""n"": 509, ""n_pos"": 106, ""n_neg"": 403, ""dep_sd"": 0.18482744829107817}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.0948049307776301, ""d_discovery_shrunken"": 0.6779180136548976, ""d_holdout"": 0.16810565838384034, ""magnitude_ok"": false, ""replicated"": false}}"
