set,context,dep_gene,tested,replicated,result
primary,EXPR_LOW:LIX1L,STX4,True,False,"{""n_pos"": 17, ""n_neg"": 100, ""median_pos"": 0.08187698592827962, ""median_neg"": 0.11307490066487681, ""p"": 0.15364070313516026, ""u"": 717.5, ""p3"": {""same_line"": {""n_pos"": 12, ""n_neg"": 80, ""median_pos"": 0.06717835046975797, ""median_neg"": 0.10728780272321467, ""p"": 0.0522841598235065}, ""disjoint"": {""n_pos"": 5, ""n_neg"": 20, ""median_pos"": 0.13491731212057778, ""median_neg"": 0.1281174753474886, ""p"": 0.6948420839588274}}}"
primary,EXPR_LOW:SMARCA2,ZNF217,False,False,"{""n_pos"": 2, ""n_neg"": 116}"
primary,EXPR_LOW:ZEB1,STX4,True,True,"{""n_pos"": 48, ""n_neg"": 69, ""median_pos"": 0.0873583476320779, ""median_neg"": 0.12689122032026504, ""p"": 0.029781045856645077, ""u"": 1315.5, ""p3"": {""same_line"": {""n_pos"": 37, ""n_neg"": 55, ""median_pos"": 0.08187698592827962, ""median_neg"": 0.12433900936302333, ""p"": 0.008003150227179892}, ""disjoint"": {""n_pos"": 11, ""n_neg"": 14, ""median_pos"": 0.13491731212057778, ""median_neg"": 0.1281174753474886, ""p"": 0.7173313297968087}}}"
primary,EXPR_LOW:MYO5A,KLF5,True,False,"{""n_pos"": 25, ""n_neg"": 93, ""median_pos"": 0.6145878814340465, ""median_neg"": 0.5676562152546142, ""p"": 0.8182812235197461, ""u"": 1300.0, ""p3"": {""same_line"": {""n_pos"": 24, ""n_neg"": 68, ""median_pos"": 0.616533801044716, ""median_neg"": 0.49159033480732783, ""p"": 0.9329679465351742}}}"
primary,EXPR_LOW:KATNAL1,STX4,True,False,"{""n_pos"": 12, ""n_neg"": 105, ""median_pos"": 0.08976683694889145, ""median_neg"": 0.10397908800464711, ""p"": 0.4041706761310536, ""u"": 602.5, ""p3"": {""same_line"": {""n_pos"": 8, ""n_neg"": 84, ""median_pos"": 0.06854289605083977, ""median_neg"": 0.10321181665225046, ""p"": 0.27563800732348687}, ""disjoint"": {""n_pos"": 4, ""n_neg"": 21, ""median_pos"": 0.18696357546577352, ""median_neg"": 0.12689122032026504, ""p"": 0.6850631901741244}}}"
primary,EXPR_LOW:HTATIP2,SRD5A3,True,True,"{""n_pos"": 16, ""n_neg"": 101, ""median_pos"": 0.14381814096746692, ""median_neg"": 0.5910757946210269, ""p"": 0.0008293764247702274, ""u"": 411.0, ""p3"": {""same_line"": {""n_pos"": 14, ""n_neg"": 78, ""median_pos"": 0.20516057648660918, ""median_neg"": 0.5968487908824099, ""p"": 0.003686542781111544}}}"
primary,EXPR_LOW:BNIP3,KRAS,True,False,"{""n_pos"": 11, ""n_neg"": 101, ""median_pos"": 0.3064302287040106, ""median_neg"": 0.2838033843674456, ""p"": 0.6116130426766837, ""u"": 584.0, ""p3"": {""same_line"": {""n_pos"": 8, ""n_neg"": 80, ""median_pos"": 0.2717466622412472, ""median_neg"": 0.27822992210582864, ""p"": 0.34756383844548006}, ""disjoint"": {""n_pos"": 3, ""n_neg"": 21, ""median_pos"": 0.5790195984013098, ""median_neg"": 0.29155660595949767, ""p"": 0.8448616600790514}}}"
primary,EXPR_LOW:RDX,TTC7A,True,True,"{""n_pos"": 5, ""n_neg"": 112, ""median_pos"": 0.08009669621273167, ""median_neg"": 0.517663082077594, ""p"": 0.026458639596877186, ""u"": 137.0, ""p3"": {""disjoint"": {""n_pos"": 3, ""n_neg"": 22, ""median_pos"": 0.4782504525609626, ""median_neg"": 0.1726647544566582, ""p"": 0.608695652173913}}}"
primary,EXPR_LOW:VPS35L,STAMBP,True,True,"{""n_pos"": 7, ""n_neg"": 111, ""median_pos"": 0.13633459192564623, ""median_neg"": 0.6374895971018749, ""p"": 0.0032219176041422518, ""u"": 157.0, ""p3"": {""same_line"": {""n_pos"": 4, ""n_neg"": 88, ""median_pos"": 0.4726839315684406, ""median_neg"": 0.6461991896044909, ""p"": 0.14147031929152104}, ""disjoint"": {""n_pos"": 3, ""n_neg"": 23, ""median_pos"": 0.01962528783755495, ""median_neg"": 0.5790195984013098, ""p"": 0.0007692307692307692}}}"
primary,EXPR_LOW:SLC2A3,SLC2A1,True,True,"{""n_pos"": 30, ""n_neg"": 88, ""median_pos"": 0.1431487269376726, ""median_neg"": 0.42565549429669497, ""p"": 0.00015906493436403985, ""u"": 737.0, ""p3"": {""same_line"": {""n_pos"": 25, ""n_neg"": 67, ""median_pos"": 0.13555331315169863, ""median_neg"": 0.49136660349547273, ""p"": 1.8524770708817286e-05}, ""disjoint"": {""n_pos"": 5, ""n_neg"": 21, ""median_pos"": 0.5790195984013098, ""median_neg"": 0.3404333263554532, ""p"": 0.6706597750076011}}}"
primary,EXPR_LOW:NR3C1,CTNNB1,True,False,"{""n_pos"": 12, ""n_neg"": 106, ""median_pos"": 0.6178074209538333, ""median_neg"": 0.5940076520753832, ""p"": 0.3492619972869586, ""u"": 592.0, ""p3"": {""same_line"": {""n_pos"": 12, ""n_neg"": 80, ""median_pos"": 0.6178074209538333, ""median_neg"": 0.6289090582797435, ""p"": 0.2791157468013619}}}"
primary,EXPR_LOW:ZEB1,ELMO2,True,False,"{""n_pos"": 48, ""n_neg"": 69, ""median_pos"": 0.46572014787068916, ""median_neg"": 0.2800287509317432, ""p"": 0.9077653930802752, ""u"": 1895.0, ""p3"": {""same_line"": {""n_pos"": 37, ""n_neg"": 55, ""median_pos"": 0.4857868568958063, ""median_neg"": 0.24131077088369596, ""p"": 0.8899522846537207}, ""disjoint"": {""n_pos"": 11, ""n_neg"": 14, ""median_pos"": 0.4419383536553457, ""median_neg"": 0.30844299734394576, ""p"": 0.7355107902089002}}}"
primary,EXPR_LOW:KLHL5,CCND2,True,False,"{""n_pos"": 4, ""n_neg"": 114, ""median_pos"": 0.33401671258071075, ""median_neg"": 0.593895865747944, ""p"": 0.12383417157131997, ""u"": 148.0, ""p3"": {""same_line"": {""n_pos"": 4, ""n_neg"": 88, ""median_pos"": 0.33401671258071075, ""median_neg"": 0.5947016003556346, ""p"": 0.12087017363031043}}}"
