context,context_kind,context_gene,dep_gene,pair,ctx_group,ky_pos,ky_evaluable,beta_av,se_av,beta_lb_av,p_av,q_av,n_av,beta_ky,p_ky_two,p_ky_one,av_pass,ky_pass,dep_expr_in_context,dep_expressed
EXPR_LOW:SLC16A3,EXPR_LOW,SLC16A3,SLC16A1,SLC16A1|SLC16A3,EXPR_LOW:SLC16A3,15,True,-0.3083898865537424,0.03159218411986411,0.24646920567880873,1.5970238855195813e-21,6.388095542078325e-20,1031,-0.30087346573187446,2.621741638185298e-05,1.310870819092649e-05,True,True,5.851610060383175,True
EXPR_LOW:RAB13,EXPR_LOW,RAB13,RAB35,RAB13|RAB35,EXPR_LOW:RAB13,6,True,0.010756364253564153,0.05706435803335951,-0.10108977749182049,0.8505283492506527,0.9141049383304172,1031,0.25687619515415705,0.1057704696064784,0.9471147651967609,False,False,,False
EXPR_LOW:RAB13,EXPR_LOW,RAB13,RAB11A,RAB11A|RAB13,EXPR_LOW:RAB13,6,True,-0.02615967554364604,0.04894577024116727,-0.06977403412904182,0.5931457713599896,0.7778960935868715,1031,0.09206372415236022,0.5557815052132499,0.722109247393375,False,False,,False
EXPR_LOW:RAB13,EXPR_LOW,RAB13,RAB10,RAB10|RAB13,EXPR_LOW:RAB13,6,True,0.08427012544206706,0.07566802998399587,-0.06403921332656483,0.26569525263043225,0.4671564881414193,1031,0.26522871704208095,0.2534883885062911,0.8732558057468545,False,False,,False
EXPR_LOW:EGFR,EXPR_LOW,EGFR,ERBB2,EGFR|ERBB2,EXPR_LOW:EGFR,25,True,-0.01793180769517753,0.04275421863233637,-0.06586646082420175,0.6750061876982918,0.8181893184221719,1031,0.06960627765681139,0.5561591131568339,0.7219204434215831,False,False,,False
EXPR_LOW:EGFR,EXPR_LOW,EGFR,ERBB3,EGFR|ERBB3,EXPR_LOW:EGFR,25,True,0.028841183395414503,0.02528003511045906,-0.020707685421085257,0.25421026587261697,0.46495899780293004,1031,-0.03209313272899333,0.7487124887849694,0.3743562443924847,False,False,,False
EXPR_LOW:VLDLR,EXPR_LOW,VLDLR,LRP8,LRP8|VLDLR,EXPR_LOW:VLDLR,49,True,0.021727867909793752,0.02321806183660809,-0.023779533289958105,0.349603254676348,0.568622923781875,1031,-0.05179170475226068,0.09186897016386687,0.045934485081933436,False,False,,False
EXPR_LOW:DOCK1,EXPR_LOW,DOCK1,DOCK5,DOCK1|DOCK5,EXPR_LOW:DOCK1,11,True,-0.025105609313948545,0.05021537533389443,-0.07331652634048454,0.6172191551814019,0.7837719584311236,1031,-0.12995827460715956,0.2951095064644302,0.1475547532322151,False,False,,False
EXPR_LOW:SLC7A11,EXPR_LOW,SLC7A11,SLC7A5,SLC7A11|SLC7A5,EXPR_LOW:SLC7A11,8,True,-0.0012159209146047137,0.0570572721320564,-0.11061633246422584,0.9830023834168082,0.9906808620478709,1031,0.1723079748676556,0.18489969272052117,0.9075501536397395,False,False,,False
EXPR_LOW:NMT2,EXPR_LOW,NMT2,NMT1,NMT1|NMT2,EXPR_LOW:NMT2,7,True,-0.23219458070726062,0.08376542522816731,0.0680143472600527,0.005680076453972711,0.028400382269863557,1031,-0.3576975719092323,0.023947558554874758,0.011973779277437379,False,True,,False
