context,drug,beta,r,se,beta_lb,p,n_models,df,q
MUT_DAM:PTEN,Ipatasertib,-1.0537802346165992,-0.22216690504448558,0.15598567414484737,0.7480483132926983,2.5855994037615686e-11,947,879,2.291565039565803e-06
EXPR_LOW:SKAP1,Ipatasertib,-0.5845854998935058,-0.18126207745993297,0.12546894344273934,0.3386663707457367,3.864426688501241e-06,704,639,0.007059456595770867
EXPR_LOW:IL6R,Irinotecan,-0.760963687873286,-0.20211886943325547,0.145184422029196,0.4764022206960619,2.162492758404498e-07,710,645,0.001368981487084813
EXPR_LOW:CRYAB,Irinotecan,-0.6981136087500142,-0.1829433390321985,0.14771945759420935,0.40858347186536387,2.8137140538794954e-06,710,645,0.005950352149326575
EXPR_LOW:LCAT,JQ1,-1.5366895343863147,-0.18795101735610706,0.3194282290771701,0.9106102053950613,1.8821602521747556e-06,697,632,0.0048730042122968305
EXPR_LOW:MYOF,JQ1,-1.1079708915724367,-0.17775236632688854,0.24399601287053455,0.629738706346189,6.707558194098589e-06,697,632,0.009449786335104432
EXPR_LOW:NOS1AP,JQ1,-0.6827541835875223,-0.17940329323442997,0.14892632502677114,0.39085858653505084,5.4864254843169515e-06,697,632,0.00857205640046217
EXPR_LOW:SLC16A1,Lapatinib,-2.181453582590211,-0.19712803995606665,0.42718024678941274,1.344180298882962,4.322742518794097e-07,710,645,0.002060770789003675
EXPR_LOW:LIX1L,Lapatinib,-0.9061512065754543,-0.19946978247073138,0.17527792464084488,0.5626064742793984,3.130194235428852e-07,710,645,0.0017389602994499047
EXPR_LOW:PRKG1,Lapatinib,-0.7470749318050998,-0.18567417368268482,0.15567346464663445,0.44195494109769623,1.9832848169843778e-06,710,645,0.005022130478848327
EXPR_LOW:TLCD5,Lapatinib,-0.743389701820121,-0.17792672426462233,0.16188622747968556,0.42609269595993726,5.278368190627171e-06,710,645,0.008422133184923002
EXPR_LOW:MSRB3,Lapatinib,-0.6888959318281334,-0.18705900865405087,0.1424494575828283,0.4096949949657899,1.6576813538984153e-06,710,645,0.004465913442824203
EXPR_LOW:ATP8B3,Lapatinib,-0.6787769926079705,-0.19666045703323792,0.1332493976392716,0.4176081732349982,4.608398916145802e-07,710,645,0.0021169278971194722
EXPR_LOW:NCKAP5L,Linsitinib,-1.0213420949643717,-0.21359304602542598,0.18379262301383326,0.6611085538572585,4.015377076493676e-08,711,646,0.0005051126754697158
EXPR_LOW:SP140L,Linsitinib,-0.7493131805905949,-0.17759943544084003,0.16336011346768253,0.42912735819393716,5.404986724639191e-06,711,646,0.008511059341790113
EXPR_LOW:ALPK1,Linsitinib,-0.6982702428751119,-0.18387971844533682,0.14686026965877827,0.41042411434390647,2.452833178987379e-06,711,646,0.005554672912567312
EXPR_LOW:RIMKLB,Linsitinib,-0.6320410108159494,-0.17502079143384003,0.13988902201883174,0.3578585276590392,7.417770893965025e-06,711,646,0.009927465666091971
EXPR_LOW:TRIM34,Linsitinib,-0.5783520003318022,-0.19272505990242408,0.11585604565725531,0.3512741508435818,7.696147149044088e-07,711,646,0.0029282938850947347
EXPR_LOW:FBXL13,Linsitinib,-0.480656800345655,-0.18258960816175743,0.10183097030390637,0.28106809854999854,2.891462024067767e-06,711,646,0.005997679699914593
EXPR_LOW:C11orf52,Luminespib,-0.9069394254992535,-0.1894793333862948,0.1850534017293225,0.5442347581097815,1.2077913198219073e-06,710,645,0.003778887418983612
EXPR_LOW:ITGB6,Luminespib,-0.8434743927502277,-0.18428147829207936,0.17713647083850276,0.49628690990676233,2.3720808226776893e-06,710,645,0.005465686554736242
EXPR_LOW:LGALS4,Luminespib,-0.7709788483918868,-0.1857885864880134,0.16055203014242508,0.4562968693127336,1.954214852496231e-06,710,645,0.004993917938184523
EXPR_LOW:SOWAHB,Luminespib,-0.7685693416713016,-0.18283213412236046,0.1627300912004274,0.44961836291846397,2.853763739413417e-06,710,645,0.0059689104735356656
EXPR_LOW:EPPK1,Luminespib,-0.7655237491907686,-0.17623706144495435,0.16835659070632006,0.4355448314063813,6.498843028655582e-06,710,645,0.009324338824737138
EXPR_LOW:GADD45G,Luminespib,-0.70147134653867,-0.18993220084511922,0.1427753623009118,0.4216316364288829,1.1378000854801535e-06,710,645,0.0036428584753211346
EXPR_LOW:HGD,MG-132,-0.3547903710813253,-0.1968470603088978,0.0695256547650744,0.21852008774177945,4.4012039503995185e-07,711,646,0.002067840453434262
EXPR_LOW:STK32A,MK-1775,-0.6069704447821141,-0.19636257407986293,0.11924881035656229,0.3732427764832521,4.702914638711277e-07,711,646,0.002152539485726166
EXPR_LOW:TMEM191C,MK-1775,-0.4691414389492243,-0.19690914801772808,0.0919040343258051,0.28900953167064625,4.3639131143001454e-07,711,646,0.0020621136140067825
EXPR_LOW:IRS2,MK-2206,-0.7067515575493434,-0.1891678165228267,0.1443412051143188,0.42384279552527854,1.2347074882403842e-06,711,646,0.003827428324150895
EXPR_LOW:TNFSF12,MK-2206,-0.5452479061142737,-0.18485331437417188,0.11405141638607033,0.3217071299975758,2.164795278456795e-06,711,646,0.0052827940809255505
EXPR_LOW:BTC,MK-8776,-0.5996731642148929,-0.1818061501670588,0.12871240622688093,0.3473968480102063,3.872545159501691e-06,700,635,0.007059456595770867
EXPR_LOW:ZNF404,MK-8776,-0.5215583904314429,-0.17769398986626692,0.1146241944056687,0.29689496939633225,6.423746630086254e-06,700,635,0.009264144940301968
EXPR_LOW:PRRG2,Mitoxantrone,-0.9802220046953729,-0.203259575973087,0.21309378126545425,0.5625581934150825,5.3846946576441566e-06,551,491,0.008494469092709626
EXPR_LOW:SYT8,Mycophenolic acid,-0.6949922609246003,-0.19597926853962602,0.15368458366463655,0.3937704769419127,7.612031218387838e-06,572,512,0.009998376436847218
EXPR_LOW:SRXN1,Navitoclax,-2.069268515718089,-0.18329524955706142,0.4369833446607438,1.212781160183031,2.690490889699803e-06,710,645,0.005821805150770901
EXPR_LOW:BCL3,Navitoclax,-1.569800447295266,-0.20516897141779397,0.2948589313498818,0.9918769418494977,1.4039289247665923e-07,710,645,0.0010295988194733475
EXPR_LOW:TUFT1,Navitoclax,-1.4163932483022559,-0.19140547674147018,0.2859860334043698,0.8558606228296911,9.360383259321359e-07,710,645,0.0032135906574372415
EXPR_LOW:FAM114A1,Navitoclax,-1.2280234975399364,-0.17820874491209363,0.2669867364079801,0.7047294941802955,5.097286691669451e-06,710,645,0.008247942861414243
EXPR_LOW:ADAMTSL5,Navitoclax,-0.8485960631117768,-0.18582728009517457,0.1766772687395181,0.5023086163823214,1.9444763368001203e-06,710,645,0.004988646148834557
EXPR_LOW:ADAMTSL4,Navitoclax,-0.7728048336680194,-0.20890295734491765,0.14244787825226238,0.4936069922935852,8.198753848427981e-08,710,645,0.0007333055703544245
EXPR_LOW:MPST,Nelarabine,-1.56480657372139,-0.23530814682233067,0.2919823118009571,0.9925212425915142,1.288777257239831e-07,550,490,0.000977773741868614
EXPR_LOW:ABHD4,Nelarabine,-1.0871607299426804,-0.21226505579708654,0.22610286287019227,0.6439991187171036,2.028831216414852e-06,550,490,0.00507301339311727
EXPR_LOW:THEM4,Nelarabine,-0.6528392048735141,-0.20308562477417832,0.14219459973188,0.3741377893990293,5.609414681634936e-06,550,490,0.008673534097451788
EXPR_LOW:GLCE,Nilotinib,-2.0786987525891516,-0.19019776773762967,0.42512385401875125,1.2454559987123992,1.2804464569286207e-06,702,637,0.003931708643878324
