set,context,drug,tested,replicated,result
primary,MUT_DAM:PTEN,AZD5363,True,True,"{""res"": {""beta"": -0.10094405627364382, ""r"": -0.10135710990817383, ""p_two"": 0.0358501958141648, ""se"": 0.04794797246330204, ""df"": 427, ""n"": 470, ""n_pos"": 60, ""n_neg"": 410, ""dep_sd"": 0.28984519178696666, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.0179250979070824, ""d_discovery"": 0.6748570624653724, ""d_holdout"": 0.348268866049835, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:CHMP4C,AZD5363,True,False,"{""res"": {""beta"": -0.0574059266478981, ""r"": -0.060020424725601165, ""p_two"": 0.21635357588413492, ""se"": 0.046365085427934986, ""df"": 424, ""n"": 467, ""n_pos"": 112, ""n_neg"": 355, ""dep_sd"": 0.28968258343336994, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.10817678794206746, ""d_discovery"": 0.549896773442882, ""d_holdout"": 0.19816837438934976, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:STK32A,AZD5363,True,True,"{""res"": {""beta"": -0.07103976050846905, ""r"": -0.09527061654728095, ""p_two"": 0.049407592722669924, ""se"": 0.03604787352655403, ""df"": 424, ""n"": 467, ""n_pos"": 351, ""n_neg"": 116, ""dep_sd"": 0.28968258343336994, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.024703796361334962, ""d_discovery"": 0.4492475119457766, ""d_holdout"": 0.24523310882723107, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:CCDC148,AZD5363,True,False,"{""res"": {""beta"": -0.037809989453722166, ""r"": -0.05710829283069666, ""p_two"": 0.2395154940018557, ""se"": 0.032100743995539256, ""df"": 424, ""n"": 467, ""n_pos"": 325, ""n_neg"": 142, ""dep_sd"": 0.28968258343336994, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.11975774700092785, ""d_discovery"": 0.4383008893818767, ""d_holdout"": 0.13052213566170043, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:KLRC2,AZD5363,True,False,"{""res"": {""beta"": -0.03118645406894599, ""r"": -0.04373126070355527, ""p_two"": 0.36791710981702713, ""se"": 0.03459994408732371, ""df"": 424, ""n"": 467, ""n_pos"": 363, ""n_neg"": 104, ""dep_sd"": 0.28968258343336994, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.18395855490851357, ""d_discovery"": 0.4271959428394282, ""d_holdout"": 0.10765733203328465, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:ICAM2,AZD5363,True,False,"{""res"": {""beta"": -0.03564978139935738, ""r"": -0.05715265428062458, ""p_two"": 0.23915007331042726, ""se"": 0.03024315406403132, ""df"": 424, ""n"": 467, ""n_pos"": 279, ""n_neg"": 188, ""dep_sd"": 0.28968258343336994, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.11957503665521363, ""d_discovery"": 0.4049662307287652, ""d_holdout"": 0.12306498021672471, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:CREBRF,AZD5438,True,False,"{""res"": {""beta"": -0.012717389726676681, ""r"": -0.014622908647138298, ""p_two"": 0.7681155759176188, ""se"": 0.04310429751138721, ""df"": 407, ""n"": 450, ""n_pos"": 36, ""n_neg"": 414, ""dep_sd"": 0.23485260589237028, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.3840577879588094, ""d_discovery"": 0.6970286871812262, ""d_holdout"": 0.054150515717525764, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:GPR39,AZD5438,True,False,"{""res"": {""beta"": 0.025468860757142702, ""r"": 0.03151038792873639, ""p_two"": 0.5251247827005442, ""se"": 0.04004449774989818, ""df"": 407, ""n"": 450, ""n_pos"": 53, ""n_neg"": 397, ""dep_sd"": 0.23485260589237028, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.7374376086497278, ""d_discovery"": 0.5642338049346933, ""d_holdout"": 0.10844614927890019, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:TFF3,AZD7762,True,False,"{""res"": {""beta"": -0.007024201885214392, ""r"": -0.003187353184716603, ""p_two"": 0.9477634765571168, ""se"": 0.10715055035557566, ""df"": 423, ""n"": 466, ""n_pos"": 359, ""n_neg"": 107, ""dep_sd"": 0.8756916420837112, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.4738817382785584, ""d_discovery"": 0.4200353797239663, ""d_holdout"": 0.008021318861169304, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:RORA,AZD7762,True,False,"{""res"": {""beta"": -0.13474952917955088, ""r"": -0.07675707534244312, ""p_two"": 0.11409335276559053, ""se"": 0.08510508607845362, ""df"": 423, ""n"": 466, ""n_pos"": 208, ""n_neg"": 258, ""dep_sd"": 0.8756916420837112, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.057046676382795265, ""d_discovery"": 0.37386051712153595, ""d_holdout"": 0.15387782948220668, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:LMNTD2,AZD7762,True,True,"{""res"": {""beta"": -0.1981145483177214, ""r"": -0.09847910661647116, ""p_two"": 0.04244258322264496, ""se"": 0.09733877658035882, ""df"": 423, ""n"": 466, ""n_pos"": 137, ""n_neg"": 329, ""dep_sd"": 0.8756916420837112, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.02122129161132248, ""d_discovery"": 0.3601599175455661, ""d_holdout"": 0.22623779741269104, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:PLEKHG6,AZD8055,True,False,"{""res"": {""beta"": -0.008653024066435783, ""r"": -0.008126825800397988, ""p_two"": 0.869845630402418, ""se"": 0.0527758715770126, ""df"": 407, ""n"": 450, ""n_pos"": 216, ""n_neg"": 234, ""dep_sd"": 0.4386645886949556, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.434922815201209, ""d_discovery"": 0.5240068470749341, ""d_holdout"": 0.019725832194886918, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:SPINT1,AZD8055,True,False,"{""res"": {""beta"": -0.03193664584241754, ""r"": -0.02686992916301337, ""p_two"": 0.5879250136029249, ""se"": 0.058893686569556736, ""df"": 407, ""n"": 450, ""n_pos"": 93, ""n_neg"": 357, ""dep_sd"": 0.4386645886949556, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.29396250680146246, ""d_discovery"": 0.5224824161360118, ""d_holdout"": 0.07280424877109483, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:GRAMD2A,AZD8055,True,False,"{""res"": {""beta"": -0.014948182806951003, ""r"": -0.01407795199757427, ""p_two"": 0.7765240604742705, ""se"": 0.05262700745641837, ""df"": 407, ""n"": 450, ""n_pos"": 311, ""n_neg"": 139, ""dep_sd"": 0.4386645886949556, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.38826203023713524, ""d_discovery"": 0.49659909524582097, ""d_holdout"": 0.0340765659964084, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:TMPRSS3,AZD8055,True,False,"{""res"": {""beta"": -0.0347314077631276, ""r"": -0.03484942926800223, ""p_two"": 0.4821538586967802, ""se"": 0.04937028455786232, ""df"": 407, ""n"": 450, ""n_pos"": 297, ""n_neg"": 153, ""dep_sd"": 0.4386645886949556, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.2410769293483901, ""d_discovery"": 0.45361105777882854, ""d_holdout"": 0.07917531676412473, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:TUBA8,AZD8055,True,False,"{""res"": {""beta"": -0.06178389876231281, ""r"": -0.06261105958847316, ""p_two"": 0.20637542639767156, ""se"": 0.04881734213569609, ""df"": 407, ""n"": 450, ""n_pos"": 321, ""n_neg"": 129, ""dep_sd"": 0.4386645886949556, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.10318771319883578, ""d_discovery"": 0.44545872825163674, ""d_holdout"": 0.1408454212046665, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:SLC16A1,Afatinib,True,False,"{""res"": {""beta"": -0.3726176709637598, ""r"": -0.09950514565144364, ""p_two"": 0.03847841393721208, ""se"": 0.17948101751861123, ""df"": 431, ""n"": 474, ""n_pos"": 6, ""n_neg"": 468, ""dep_sd"": 0.44753818934251743, ""n_broad_ids"": 2}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.01923920696860604, ""d_discovery"": 2.0061956471932376, ""d_holdout"": 0.8325941334999275, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:DOK1,Afatinib,True,False,"{""res"": {""beta"": -0.17547131762862822, ""r"": -0.07491744353479235, ""p_two"": 0.11956243676037236, ""se"": 0.11250254685735335, ""df"": 431, ""n"": 474, ""n_pos"": 15, ""n_neg"": 459, ""dep_sd"": 0.44753818934251743, ""n_broad_ids"": 2}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.05978121838018618, ""d_discovery"": 0.9230594507437936, ""d_holdout"": 0.39208121632349363, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:LIX1L,Afatinib,True,True,"{""res"": {""beta"": -0.228663214765985, ""r"": -0.19568987242369512, ""p_two"": 4.131885385686998e-05, ""se"": 0.05519635049228468, ""df"": 431, ""n"": 474, ""n_pos"": 89, ""n_neg"": 385, ""dep_sd"": 0.44753818934251743, ""n_broad_ids"": 2}, ""rep"": {""same_sign"": true, ""p_one_sided"": 2.065942692843499e-05, ""d_discovery"": 0.6104977067792021, ""d_holdout"": 0.5109356479765811, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:DYRK3,Afatinib,True,True,"{""res"": {""beta"": -0.1616381801744006, ""r"": -0.15108570187308362, ""p_two"": 0.0016164640798266815, ""se"": 0.05094102796916007, ""df"": 431, ""n"": 474, ""n_pos"": 96, ""n_neg"": 378, ""dep_sd"": 0.44753818934251743, ""n_broad_ids"": 2}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.0008082320399133407, ""d_discovery"": 0.45656756978088303, ""d_holdout"": 0.3611718151066946, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:MAF,Afatinib,True,False,"{""res"": {""beta"": -0.013496855216003406, ""r"": -0.012423278063415776, ""p_two"": 0.7965810654235441, ""se"": 0.05232680661123517, ""df"": 431, ""n"": 474, ""n_pos"": 344, ""n_neg"": 130, ""dep_sd"": 0.44753818934251743, ""n_broad_ids"": 2}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.39829053271177206, ""d_discovery"": 0.4495477765942913, ""d_holdout"": 0.030157996652379015, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:ZEB1,Afatinib,True,True,"{""res"": {""beta"": -0.23411505114689932, ""r"": -0.2451319190994251, ""p_two"": 2.402675568214129e-07, ""se"": 0.044599916849087796, ""df"": 431, ""n"": 474, ""n_pos"": 179, ""n_neg"": 295, ""dep_sd"": 0.44753818934251743, ""n_broad_ids"": 2}, ""rep"": {""same_sign"": true, ""p_one_sided"": 1.2013377841070645e-07, ""d_discovery"": 0.42646119330322346, ""d_holdout"": 0.5231174829813741, ""magnitude_ok"": true, ""replicated"": true}}"
